id,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23919651131e-05,7.59448793637e-05,2.7540490305e-05,8.35636819677e-05,9.35405247438e-05,4.19427787475e-05,8.53330312752e-05,8.0344183082e-05,4.54305562251e-05,2.86473270251e-05,7.33674432508e-05,5.42171761428e-05,4.53894670387e-05,4.53050050344e-05,6.95185005818e-05,5.36538828218e-05
1,2.39731374142e-06,1.55494260024e-05,1.55430165451e-05,3.63462117064e-05,5.06698918028e-06,5.23484739124e-06,2.02903358259e-05,5.37876193196e-06,2.52844278299e-05,1.4003147801e-05,1.03766316823e-05,9.95621788506e-06,8.8647246213e-06,1.29978076323e-05,3.28048838464e-05,8.26128115548e-06,2.00400877214e-05,1.93815574274e-05,1.69499181827e-05,1.69738685472e-05,8.6736165067e-06,1.39304159364e-05,2.03460083457e-05,1.18527454283e-05,1.04525174346e-05,2.70295138544e-05,1.57088383519e-05,1.19750139256e-05,1.50305821905e-05,1.38178431113e-05,2.41795847224e-05,1.46116802208e-05,1.62152375839e-05,1.77295282347e-05,2.10496495263e-05,1.87141984882e-05,1.99897156501e-05,2.45404119281e-05,2.16450845076e-05,4.36258787087e-05,2.89233071347e-05,1.46990369815e-05,2.8879221322e-05,3.66757575404e-05,2.39037393559e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000117603690895,6.96474459433e-05,9.05021591447e-05,8.73439299778e-05,5.99628524828e-05,5.77505206122e-05,0.000113553657262,3.33722603418e-05,7.24179693721e-05,5.65562236155e-05,7.13932435521e-05,4.50400641416e-05,0.000108310719029,0.000125896187049,8.81956800634e-05,0.000138128553961,7.09112309851e-05,8.27021738911e-05,6.23196088308e-05,5.21850981243e-05,0.000105536833334,0.000127657474024,0.00015792486142,0.000105244441833,0.0,0.0,0.0,0.0,0.0,0.0
3,9.08670299425e-06,8.56989988955e-06,1.78597545373e-05,0.0,2.2322433129e-05,9.79545444314e-05,2.02732598007e-05,1.49489942294e-05,2.87112449371e-05,3.05081852507e-05,6.64161096241e-05,2.46452377053e-05,1.80797754621e-05,1.13033463583e-05,1.14301122365e-05,1.8133082135e-05,2.25183139703e-05,0.000174376733937,0.000250738199998,1.22377690254e-05,0.000365028282864,0.000135219356869,2.11194906422e-05,1.1454247022e-05,1.52481406326e-05,2.36016350255e-05,1.06676512819e-05,2.44978188757e-05,2.88057876644e-05,2.53588586682e-05,2.28387823936e-05,7.81572171282e-06,1.95900764616e-05,2.29066694237e-05,1.42041505709e-05,3.21120404585e-05,0.0,2.82640312728e-05,9.55412125821e-05,1.64628264342e-05,3.14453643141e-05,3.95189977269e-05,1.99691475115e-05,2.87329822447e-05,3.45575185407e-05,3.41069576029e-05,3.36031768318e-05,2.26834237025e-05,3.14715197404e-05,5.81707974093e-05,9.24491044091e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.07269965725e-05,1.75555003442e-05,8.4113645928e-06,8.15714086831e-05,2.86419590343e-05,3.28578329202e-05,9.24336089392e-05,4.06693050532e-05,4.50411020648e-05,3.67571447431e-05,6.2411444273e-05,6.35440938109e-05,7.26811111577e-05,2.54452170117e-05,3.00038832739e-05,5.00486612233e-05,1.44338305899e-05,1.82421304875e-05,9.71134360654e-06,2.0433151074e-05,1.46281356422e-05,3.9769621172e-05,3.14371120467e-05,5.0010749179e-05,5.23847949139e-05,6.51766041709e-05,6.99796192035e-05,4.31645943445e-05,1.61722153517e-05,1.91585128414e-05,1.88806629083e-05,5.29982209404e-05,4.67986120879e-05,5.05327449766e-05,3.84883698557e-05,9.2804017975e-05,9.05754827777e-05,3.58874481182e-05,4.5617550642e-05,5.22521876593e-05,3.32313626366e-05,0.0,0.0,4.20631244534e-05,3.983233896e-05,4.17294792928e-05,4.57544528457e-05,5.49329112417e-05,8.80009741924e-05,0.000103045378137,3.29028593804e-05,3.68319394258e-05,9.38071742011e-05,5.20995248763e-05,7.57442995231e-05,6.96833275755e-05,6.99094618315e-05,8.17760343573e-05,7.41256592162e-05,1.79277231692e-05,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.43053474199e-06,0.000145458250626,1.427375646e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.42390482753e-07,3.81760342433e-07,1.80209161231e-06,2.02095207633e-07,0.0,0.0,0.000126148944818,1.13979753548e-08,2.84815413327e-05,0.0,0.0,0.0,0.000253533929484,0.0,1.13507115994e-05,9.2038176635e-07
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.76837594779e-08,3.60130447309e-07,8.67926694845e-06,1.70543183617e-06,1.7290988868e-06,5.46251271539e-06,4.42860383426e-06,1.85359957842e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1477579954e-07,3.26003402634e-06,1.1012383873e-06,8.15042272115e-07,1.15568573996e-05,4.7262456864e-06,4.94457966469e-06,2.23175876058e-07,5.56012309628e-06,4.85103680343e-06,3.9600863908e-07,5.54125844029e-06,4.52302236642e-06,4.00200933873e-06,1.0847092463e-05,5.34014301297e-05,9.78571771314e-06
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31074183775e-05,1.70697718237e-05,2.44421747069e-05,9.13184813433e-06,6.05613060587e-06,2.35575929478e-05,2.79152672309e-05,4.26716686714e-05,4.29459068326e-05,3.31724943632e-05,4.11241702229e-05,4.71461036283e-05,3.3332650583e-05,4.50208118531e-05,2.89737012083e-05,4.95201302374e-05,6.51488425409e-05,5.32357322654e-05,3.07678952637e-05,6.6046504242e-05,2.84559229104e-05,2.49894851079e-05
9,0.0,0.0,0.0,0.0,1.84054276993e-05,2.29824193168e-05,6.47895158627e-05,0.000125706527286,3.46115511027e-05,0.000237017306497,3.5355627186e-05,9.25581461412e-06,9.62585715858e-06,1.50854488971e-05,1.50691918388e-05,1.6377530703e-05,2.41564742845e-05,2.4657924379e-05,1.48813046344e-05,2.58277626673e-05,3.0228724823e-05,1.57809192557e-05,6.61917487505e-06,3.84057724407e-05,2.61237276544e-05,2.30591410234e-05,2.51604377077e-05,3.25845009264e-05,2.63195644103e-05,5.29362443249e-05,4.80115079078e-05,1.08142204649e-05,1.2008722123e-05,3.36628803332e-05,1.43720166367e-05,1.77581096124e-05,7.15987633394e-05,0.00020093299832,4.10387662022e-05,3.24186764756e-05,9.02940956236e-05,2.24872982464e-05,1.73075302601e-05,4.14064664081e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
